Disease,CommonTestAndProcedure
Ectropion,Procedures on spleen (Spleen operation)
Ectropion,Removal of ectopic pregnancy
Ectropion,Tracheostomy; temporary and permanent
Scar,Complete physical skin exam performed (ML)
Scar,Wound care management
Scar,Excision (Removal)
Scar,Other therapeutic procedures
Scar,Examination of breast
Scar,Other diagnostic procedures (interview; evaluation; consultation)
Scar,Excision of skin lesion
Scar,Physical therapy exercises (Exercises)
Lactose intolerance,Hematologic tests (Blood test)
Lactose intolerance,Glucose measurement (Glucose level)
Lactose intolerance,Hemoglobin A1c measurement (Hemoglobin a1c test)
Lactose intolerance,Lipid panel
Lactose intolerance,Complete physical skin exam performed (ML)
Lactose intolerance,Other diagnostic procedures (interview; evaluation; consultation)
Lactose intolerance,Prostate specific antigen measurement (Prostate specific antigen test)
Lactose intolerance,Rectal examination
Eustachian tube dysfunction (ear disorder),Ophthalmologic and otologic diagnosis and treatment
Eustachian tube dysfunction (ear disorder),Other diagnostic procedures (interview; evaluation; consultation)
Eustachian tube dysfunction (ear disorder),Excision (Removal)
Eustachian tube dysfunction (ear disorder),Diagnostic procedures on ear
Eustachian tube dysfunction (ear disorder),Tonsillectomy and/or adenoidectomy
Eustachian tube dysfunction (ear disorder),Diagnostic procedures on nose; mouth and pharynx
Eustachian tube dysfunction (ear disorder),Other therapeutic procedures
Eustachian tube dysfunction (ear disorder),Occupational therapy assessment (Speech therapy)
Appendicitis,Hematologic tests (Blood test)
Appendicitis,Complete blood count (Cbc)
Appendicitis,Radiographic imaging procedure
Appendicitis,Intravenous fluid replacement
Appendicitis,X-ray computed tomography (Scan ct)
Appendicitis,Urinalysis
Appendicitis,Kidney function tests (Kidney function test)
Appendicitis,Glucose measurement (Glucose level)
Graves disease,Hematologic tests (Blood test)
Graves disease,Complete blood count (Cbc)
Graves disease,Glucose measurement (Glucose level)
Graves disease,Lipid panel
Graves disease,Electrocardiogram
Graves disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Graves disease,Ultrasonography (Ultrasound)
Graves disease,Other diagnostic procedures (interview; evaluation; consultation)
Dissociative disorder,Psychotherapy
Dissociative disorder,Mental health counseling
Dissociative disorder,Depression screen (Depression screening)
Dissociative disorder,Psychological and psychiatric evaluation and therapy
Dissociative disorder,Laparoscopy (GI only) (Laparoscopy)
Dissociative disorder,Orthopedic casting
Dissociative disorder,Colonoscopy and biopsy
Dissociative disorder,Sigmoidoscopy or colonoscopy
Open wound of the face,Suturing of wound
Open wound of the face,X-ray computed tomography (Scan ct)
Open wound of the face,Wound care management
Open wound of the face,CAT scan of head (Head ct)
Open wound of the face,Blood alcohol
Open wound of the face,Application of splint (Splinting)
Open wound of the face,Prothrombin time assay (Prothrombin time)
Open wound of the face,Toxicology screen
Dislocation of the vertebra,Radiographic imaging procedure
Dislocation of the vertebra,Plain x-ray (X ray)
Dislocation of the vertebra,Magnetic resonance imaging (Mri)
Dislocation of the vertebra,Physical therapy exercises (Exercises)
Dislocation of the vertebra,Other diagnostic procedures (interview; evaluation; consultation)
Dislocation of the vertebra,X-ray computed tomography (Scan ct)
Dislocation of the vertebra,Intubation
Dislocation of the vertebra,Insertion of catheter or spinal stimulator and injection into spinal canal
Phimosis,Excision (Removal)
Phimosis,Complete physical skin exam performed (ML)
Phimosis,Other diagnostic procedures (interview; evaluation; consultation)
Phimosis,Nonoperative urinary system measurements
Phimosis,Ophthalmologic and otologic diagnosis and treatment
Phimosis,Ureteral catheterization
Phimosis,Procedures on the urethra
Phimosis,Other non-OR therapeutic procedures; male genital
Hyperemesis gravidarum,Hematologic tests (Blood test)
Hyperemesis gravidarum,Urinalysis
Hyperemesis gravidarum,Complete blood count (Cbc)
Hyperemesis gravidarum,Intravenous fluid replacement
Hyperemesis gravidarum,Glucose measurement (Glucose level)
Hyperemesis gravidarum,Kidney function tests (Kidney function test)
Hyperemesis gravidarum,Electrolytes panel
Hyperemesis gravidarum,Standard pregnancy test
Pregnancy,Urinalysis
Pregnancy,Pelvis exam
Pregnancy,Ultrasonography (Ultrasound)
Pregnancy,Examination of breast
Pregnancy,Chlamydia test
Pregnancy,Other diagnostic procedures (interview; evaluation; consultation)
Pregnancy,Standard pregnancy test
Pregnancy,Fetal monitoring
Thalassemia,Hematologic tests (Blood test)
Thalassemia,Complete blood count (Cbc)
Thalassemia,Complete physical skin exam performed (ML)
Thalassemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Thalassemia,Lipid panel
Thalassemia,Other diagnostic procedures (interview; evaluation; consultation)
Thalassemia,HIV screen (Hiv test)
Thalassemia,Other diagnostic procedures on skin and subcutaneous tissue
Placenta previa,Radiographic imaging procedure
Placenta previa,Ultrasonography (Ultrasound)
Placenta previa,Urinalysis
Placenta previa,Pelvis exam
Placenta previa,Echocardiography
Placenta previa,Examination of breast
Placenta previa,Fetal monitoring
Placenta previa,Blood alcohol
Epidural hemorrhage,Radiographic imaging procedure
Epidural hemorrhage,Intravenous fluid replacement
Epidural hemorrhage,X-ray computed tomography (Scan ct)
Epidural hemorrhage,Plain x-ray (X ray)
Epidural hemorrhage,CAT scan of head (Head ct)
Epidural hemorrhage,Complete blood count (Cbc)
Epidural hemorrhage,Cardiac monitoring (Cardiac monitor)
Epidural hemorrhage,Kidney function tests (Kidney function test)
Septic arthritis,Hematologic tests (Blood test)
Septic arthritis,Complete blood count (Cbc)
Septic arthritis,Radiographic imaging procedure
Septic arthritis,Plain x-ray (X ray)
Septic arthritis,Kidney function tests (Kidney function test)
Septic arthritis,Intravenous fluid replacement
Septic arthritis,Electrolytes panel
Septic arthritis,Glucose measurement (Glucose level)
Athlete's foot,Complete physical skin exam performed (ML)
Athlete's foot,Examination of foot
Athlete's foot,Lipid panel
Athlete's foot,Wound care management
Athlete's foot,Excision (Removal)
Athlete's foot,Hemoglobin A1c measurement (Hemoglobin a1c test)
Athlete's foot,Depression screen (Depression screening)
Athlete's foot,Prostate specific antigen measurement (Prostate specific antigen test)
Pleural effusion,Radiographic imaging procedure
Pleural effusion,Plain x-ray (X ray)
Pleural effusion,Hematologic tests (Blood test)
Pleural effusion,Complete blood count (Cbc)
Pleural effusion,Electrocardiogram
Pleural effusion,Kidney function tests (Kidney function test)
Pleural effusion,Glucose measurement (Glucose level)
Pleural effusion,Electrolytes panel
Aphakia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Aphakia,Ophthalmic examination and evaluation (Eye exam)
Aphakia,Other extraocular muscle and orbit therapeutic procedures
Aphakia,Lens and cataract procedures
Aphakia,Ophthalmologic and otologic diagnosis and treatment
Vulvar disorder,Pelvis exam
Vulvar disorder,Urinalysis
Vulvar disorder,Biopsy
Vulvar disorder,Complete physical skin exam performed (ML)
Vulvar disorder,Excision (Removal)
Vulvar disorder,Examination of breast
Vulvar disorder,Rectal examination
Vulvar disorder,Other diagnostic procedures; female organs
Vitamin B deficiency,Hematologic tests (Blood test)
Vitamin B deficiency,Complete blood count (Cbc)
Vitamin B deficiency,Glucose measurement (Glucose level)
Vitamin B deficiency,Intravenous fluid replacement
Vitamin B deficiency,Electrolytes panel
Vitamin B deficiency,Hemoglobin A1c measurement (Hemoglobin a1c test)
Vitamin B deficiency,Other diagnostic procedures (interview; evaluation; consultation)
Vitamin B deficiency,Liver function tests (Liver test)
Sialoadenitis,X-ray computed tomography (Scan ct)
Sialoadenitis,Intravenous fluid replacement
Sialoadenitis,CAT scan of head (Head ct)
Sialoadenitis,Blood culture
Sialoadenitis,Ophthalmic examination and evaluation (Eye exam)
Sialoadenitis,Tracheoscopy and laryngoscopy with biopsy
Sialoadenitis,Other OR therapeutic procedures on nose; mouth and pharynx
Sialoadenitis,Psychological and psychiatric evaluation and therapy
Gynecomastia,Examination of breast
Gynecomastia,Complete physical skin exam performed (ML)
Gynecomastia,Mammography (Mammogram)
Gynecomastia,Other OR therapeutic procedures on skin and breast
Gynecomastia,Biopsy
Gynecomastia,Excision (Removal)
Gynecomastia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Gynecomastia,Ultrasonography (Ultrasound)
Urinary tract infection,Urinalysis
Urinary tract infection,Hematologic tests (Blood test)
Urinary tract infection,Complete blood count (Cbc)
Urinary tract infection,Intravenous fluid replacement
Urinary tract infection,Glucose measurement (Glucose level)
Urinary tract infection,Kidney function tests (Kidney function test)
Urinary tract infection,Electrolytes panel
Urinary tract infection,Standard pregnancy test
Histoplasmosis,Plain x-ray (X ray)
Histoplasmosis,Excision (Removal)
Histoplasmosis,Examination of breast
Histoplasmosis,Lipid panel
Histoplasmosis,X-ray computed tomography (Scan ct)
Histoplasmosis,Ophthalmologic and otologic diagnosis and treatment
Histoplasmosis,Ophthalmic examination and evaluation (Eye exam)
Histoplasmosis,Mental health counseling
Erythema multiforme,Complete physical skin exam performed (ML)
Erythema multiforme,Glucose measurement (Glucose level)
Erythema multiforme,Electrolytes panel
Erythema multiforme,Kidney function tests (Kidney function test)
Erythema multiforme,Intravenous fluid replacement
Erythema multiforme,Liver function tests (Liver test)
Erythema multiforme,Insertion of catheter into urinary bladder
Erythema multiforme,Blood culture
Scoliosis,Radiographic imaging procedure
Scoliosis,Plain x-ray (X ray)
Scoliosis,Physical therapy exercises (Exercises)
Scoliosis,Magnetic resonance imaging (Mri)
Scoliosis,Other diagnostic procedures (interview; evaluation; consultation)
Scoliosis,Other therapeutic procedures
Scoliosis,Other physical therapy and rehabilitation
Scoliosis,Echocardiography
Bunion,Plain x-ray (X ray)
Bunion,Examination of foot
Bunion,Excision (Removal)
Bunion,Complete physical skin exam performed (ML)
Bunion,Bunionectomy or repair of toe deformities
Bunion,Wound care management
Bunion,Traction; splints; and other wound care
Bunion,Other therapeutic procedures
Arrhythmia,Electrocardiogram
Arrhythmia,Hematologic tests (Blood test)
Arrhythmia,Complete blood count (Cbc)
Arrhythmia,Radiographic imaging procedure
Arrhythmia,Glucose measurement (Glucose level)
Arrhythmia,Plain x-ray (X ray)
Arrhythmia,Intravenous fluid replacement
Arrhythmia,Kidney function tests (Kidney function test)
Paget disease,Hematologic tests (Blood test)
Paget disease,Complete blood count (Cbc)
Paget disease,Bone density scan
Paget disease,Sigmoidoscopy or colonoscopy
Paget disease,Lipid panel
Paget disease,Pelvis exam
Paget disease,Microscopic examination (bacterial smear; culture; toxicology)
Paget disease,Depression screen (Depression screening)
Trigeminal neuralgia,Magnetic resonance imaging (Mri)
Trigeminal neuralgia,Other OR therapeutic nervous system procedures
Trigeminal neuralgia,Ophthalmologic and otologic diagnosis and treatment
Trigeminal neuralgia,Other non-OR or closed therapeutic nervous system procedures
Trigeminal neuralgia,Other diagnostic radiology and related techniques
Trigeminal neuralgia,Electroencephalogram (EEG) (Eeg)
Trigeminal neuralgia,Psychological and psychiatric evaluation and therapy
Ankylosing spondylitis,Physical therapy exercises (Exercises)
Ankylosing spondylitis,Magnetic resonance imaging (Mri)
Ankylosing spondylitis,Insertion of catheter or spinal stimulator and injection into spinal canal
Ankylosing spondylitis,Other non-OR therapeutic procedures on musculoskeletal system
Ankylosing spondylitis,Other therapeutic procedures
Ankylosing spondylitis,Bone density scan
Ankylosing spondylitis,Other non-OR or closed therapeutic nervous system procedures
Ankylosing spondylitis,Arthroplasty knee (Knee replacement)
Peripheral nerve disorder,Other diagnostic procedures (interview; evaluation; consultation)
Peripheral nerve disorder,Magnetic resonance imaging (Mri)
Peripheral nerve disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Peripheral nerve disorder,Physical therapy exercises (Exercises)
Peripheral nerve disorder,Lipid panel
Peripheral nerve disorder,Examination of foot
Peripheral nerve disorder,Depression screen (Depression screening)
Peripheral nerve disorder,Debridement of wound; infection or burn
Sebaceous cyst,Complete physical skin exam performed (ML)
Sebaceous cyst,Excision (Removal)
Sebaceous cyst,Wound care management
Sebaceous cyst,Excision of skin lesion
Sebaceous cyst,Biopsy
Sebaceous cyst,Other diagnostic procedures on skin and subcutaneous tissue
Sebaceous cyst,Incision and drainage (I d)
Sebaceous cyst,Other therapeutic procedures
Poisoning due to antipsychotics,Hematologic tests (Blood test)
Poisoning due to antipsychotics,Complete blood count (Cbc)
Poisoning due to antipsychotics,Electrocardiogram
Poisoning due to antipsychotics,Urinalysis
Poisoning due to antipsychotics,Intravenous fluid replacement
Poisoning due to antipsychotics,Toxicology screen
Poisoning due to antipsychotics,Kidney function tests (Kidney function test)
