Disease,Symptom
Trigeminal neuralgia,Tongue pain
Ankylosing spondylitis,Back pain
Ankylosing spondylitis,Low back pain
Ankylosing spondylitis,Hip pain
Ankylosing spondylitis,Leg pain
Ankylosing spondylitis,Knee pain
Ankylosing spondylitis,Ache all over
Ankylosing spondylitis,Elbow pain
Ankylosing spondylitis,Lower body pain
Ankylosing spondylitis,Joint pain
Ankylosing spondylitis,Paresthesia
Ankylosing spondylitis,Rib pain
Ankylosing spondylitis,Stiffness all over
Peripheral nerve disorder,Loss of sensation
Peripheral nerve disorder,Leg pain
Peripheral nerve disorder,Paresthesia
Peripheral nerve disorder,Foot or toe pain
Peripheral nerve disorder,Dizziness
Peripheral nerve disorder,Back pain
Peripheral nerve disorder,Problems with movement
Peripheral nerve disorder,Arm pain
Peripheral nerve disorder,Abnormal involuntary movements
Peripheral nerve disorder,Leg weakness
Peripheral nerve disorder,Disturbance of memory
Peripheral nerve disorder,Arm weakness
Sebaceous cyst,Skin growth
Sebaceous cyst,Skin swelling
Sebaceous cyst,Skin lesion
Sebaceous cyst,Abnormal appearing skin
Sebaceous cyst,Neck mass
Sebaceous cyst,Back mass or lump
Sebaceous cyst,Acne or pimples
Sebaceous cyst,Arm lump or mass
Sebaceous cyst,Lump or mass of breast
Sebaceous cyst,Skin moles
Sebaceous cyst,Irregular appearing scalp
Sebaceous cyst,Hand or finger lump or mass
Poisoning due to antipsychotics,Anxiety and nervousness
Poisoning due to antipsychotics,Depressive or psychotic symptoms
Poisoning due to antipsychotics,Depression
Poisoning due to antipsychotics,Delusions or hallucinations
Poisoning due to antipsychotics,Sleepiness
Poisoning due to antipsychotics,Dizziness
Poisoning due to antipsychotics,Tongue lesions
Poisoning due to antipsychotics,Sharp chest pain
Poisoning due to antipsychotics,Difficulty speaking
Poisoning due to antipsychotics,Fainting
Poisoning due to antipsychotics,Insomnia
Poisoning due to antipsychotics,Chest tightness
Behcet disease,Vomiting
Behcet disease,Upper abdominal pain
Behcet disease,Sharp abdominal pain
Behcet disease,Diarrhea
Behcet disease,Depression
Behcet disease,Anxiety and nervousness
Behcet disease,Diminished vision
Behcet disease,Mouth ulcer
Behcet disease,Cough
Behcet disease,Neck pain
Behcet disease,Blindness
Behcet disease,Shortness of breath
Neurosis,Depressive or psychotic symptoms
Neurosis,Depression
Neurosis,Anxiety and nervousness
Neurosis,Hostile behavior
Neurosis,Delusions or hallucinations
Neurosis,Headache
Neurosis,Excessive anger
Neurosis,Insomnia
Neurosis,Drug abuse
Neurosis,Obsessions and compulsions
Neurosis,Temper problems
Neurosis,Smoking problems
Prostate cancer,Retention of urine
Prostate cancer,Blood in urine
Prostate cancer,Symptoms of prostate
Prostate cancer,Frequent urination
Prostate cancer,Involuntary urination
Prostate cancer,Impotence
Prostate cancer,Excessive urination at night
Prostate cancer,Flushing
Prostate cancer,Symptoms of bladder
Prostate cancer,Pain during intercourse
Cerebral edema,Headache
Cerebral edema,Neck pain
Cerebral edema,Focal weakness
Cerebral edema,Diminished vision
Cerebral edema,Vomiting
Cerebral edema,Difficulty speaking
Cerebral edema,Loss of sensation
Cerebral edema,Nausea
Cerebral edema,Problems with movement
Cerebral edema,Dizziness
Cerebral edema,Muscle stiffness or tightness
Cerebral edema,Arm pain
Dislocation of the finger,Hand or finger pain
Dislocation of the finger,Hand or finger swelling
Dislocation of the finger,Hand or finger stiffness or tightness
Dislocation of the finger,Wrist pain
Dislocation of the finger,Difficulty speaking
Dislocation of the finger,Joint pain
Dislocation of the finger,Hysterical behavior
Birth trauma,Arm stiffness or tightness
Birth trauma,Seizures
Birth trauma,Lack of growth
Birth trauma,Depressive or psychotic symptoms
Birth trauma,Nasal congestion
Birth trauma,Difficulty speaking
Birth trauma,Pus in sputum
Birth trauma,Emotional symptoms
Birth trauma,Itching of scrotum
Birth trauma,Muscle swelling
Birth trauma,Elbow cramps or spasms
Birth trauma,Low back weakness
Chronic pancreatitis,Sharp abdominal pain
Chronic pancreatitis,Vomiting
Chronic pancreatitis,Nausea
Chronic pancreatitis,Ache all over
Chronic pancreatitis,Burning abdominal pain
Chronic pancreatitis,Diarrhea
Chronic pancreatitis,Back pain
Chronic pancreatitis,Upper abdominal pain
Chronic pancreatitis,Abusing alcohol
Chronic pancreatitis,Regurgitation
Chronic pancreatitis,Leg weakness
Chronic pancreatitis,Skin growth
Hematoma,Sharp abdominal pain
Hematoma,Ache all over
Hematoma,Groin pain
Hematoma,Peripheral edema
Hematoma,Lump or mass of breast
Hematoma,Abnormal appearing skin
Hematoma,Arm swelling
Hematoma,Fluid retention
Hematoma,Swelling of scrotum
Hematoma,Lymphedema
Hematoma,Abdominal distention
Hematoma,Skin swelling
Carcinoid syndrome,Involuntary urination
Carcinoid syndrome,Knee lump or mass
Carcinoid syndrome,Neck cramps or spasms
Carcinoid syndrome,Excessive growth
Carcinoid syndrome,Vulvar sore
Carcinoid syndrome,Loss of sex drive
Carcinoid syndrome,Eye strain
Carcinoid syndrome,Shoulder swelling
Carcinoid syndrome,Nailbiting
Carcinoid syndrome,Wrist weakness
Carcinoid syndrome,Joint stiffness or tightness
Carcinoid syndrome,Itchy eyelid
Open wound of the head,Headache
Open wound of the head,Abusing alcohol
Seborrheic keratosis,Skin lesion
Seborrheic keratosis,Abnormal appearing skin
Seborrheic keratosis,Skin moles
Seborrheic keratosis,Skin growth
Seborrheic keratosis,Skin dryne
Seborrheic keratosis,Itching of skin
Seborrheic keratosis,Skin rash
Seborrheic keratosis,Skin swelling
Seborrheic keratosis,Skin irritation
Seborrheic keratosis,Irregular appearing scalp
Seborrheic keratosis,Warts
Seborrheic keratosis,Acne or pimples
Burn,Knee pain
Burn,Headache
Burn,Hand or finger pain
Burn,Wrist pain
Burn,Elbow pain
Burn,Bleeding from ear
Burn,Skin irritation
Burn,Penis redness
Burn,Wrist swelling
Spontaneous abortion,Spotting or bleeding during pregnancy
Spontaneous abortion,Sharp abdominal pain
Spontaneous abortion,Pain during pregnancy
Spontaneous abortion,Cramps and spasms
Spontaneous abortion,Lower abdominal pain
Spontaneous abortion,Pelvic pain
Spontaneous abortion,Problems during pregnancy
Spontaneous abortion,Burning abdominal pain
Spontaneous abortion,Uterine contractions
Spontaneous abortion,Intermenstrual bleeding
Spontaneous abortion,Blood clots during menstrual periods
Spontaneous abortion,Heavy menstrual flow
Genital herpes,Skin rash
Genital herpes,Painful urination
Genital herpes,Vaginal pain
Genital herpes,Vaginal discharge
Genital herpes,Pelvic pain
Genital herpes,Skin lesion
Genital herpes,Vaginal itching
Genital herpes,Groin pain
Genital herpes,Suprapubic pain
Genital herpes,Itching of skin
Genital herpes,Recent pregnancy
Genital herpes,Skin pain
Adjustment reaction,Depression
Adjustment reaction,Depressive or psychotic symptoms
Adjustment reaction,Anxiety and nervousness
Adjustment reaction,Excessive anger
Adjustment reaction,Hostile behavior
Adjustment reaction,Insomnia
Adjustment reaction,Low self-esteem
Adjustment reaction,Delusions or hallucinations
Adjustment reaction,Temper problems
Adjustment reaction,Fears and phobias
Adjustment reaction,Restlessness
Adjustment reaction,Nightmares
Gallstone,Sharp abdominal pain
Gallstone,Upper abdominal pain
Gallstone,Nausea
Gallstone,Vomiting
Gallstone,Back pain
Gallstone,Burning abdominal pain
Gallstone,Sharp chest pain
Gallstone,Side pain
Gallstone,Lower body pain
Gallstone,Heartburn
Gallstone,Sweating
Gallstone,Regurgitation
Multiple sclerosis,Fatigue
Multiple sclerosis,Loss of sensation
Multiple sclerosis,Headache
Multiple sclerosis,Dizziness
Multiple sclerosis,Problems with movement
Multiple sclerosis,Weakness
Multiple sclerosis,Leg weakness
Multiple sclerosis,Paresthesia
Multiple sclerosis,Disturbance of memory
Multiple sclerosis,Abnormal involuntary movements
Multiple sclerosis,Leg stiffness or tightness
Multiple sclerosis,Focal weakness
Zenker diverticulum,Difficulty in swallowing
Zenker diverticulum,Sharp chest pain
Zenker diverticulum,Regurgitation
Zenker diverticulum,Low back pain
Zenker diverticulum,Sharp abdominal pain
Zenker diverticulum,Sore throat
Zenker diverticulum,Constipation
Zenker diverticulum,Elbow weakness
Zenker diverticulum,Low back weakness
Zenker diverticulum,Wrist weakness
Zenker diverticulum,Feeling hot and cold
Zenker diverticulum,Nailbiting
Fracture of the pelvis,Hip pain
Fracture of the pelvis,Groin pain
Fracture of the pelvis,Back pain
Fracture of the pelvis,Leg pain
Fracture of the pelvis,Ache all over
Fracture of the pelvis,Side pain
Fracture of the pelvis,Problems with movement
Fracture of the pelvis,Knee pain
Fracture of the pelvis,Delusions or hallucinations
Fracture of the pelvis,Difficulty speaking
Fracture of the pelvis,Bones are painful
Fracture of the pelvis,Focal weakness
Pneumoconiosis,Cough
Pneumoconiosis,Wheezing
Pneumoconiosis,Shortness of breath
Pneumoconiosis,Fever
Pneumoconiosis,Insomnia
Pneumoconiosis,Nasal congestion
Pneumoconiosis,Vomiting
Pneumoconiosis,Sore throat
Pneumoconiosis,Difficulty breathing
Pneumoconiosis,Dizziness
Pneumoconiosis,Coughing up sputum
Pneumoconiosis,Chest tightness
Hyperlipidemia,Sharp chest pain
Hyperlipidemia,Weight gain
Hyperlipidemia,Lymphedema
Hyperlipidemia,Smoking problems
Hyperlipidemia,Leg cramps or spasms
Ulcerative colitis,Diarrhea
Ulcerative colitis,Sharp abdominal pain
Ulcerative colitis,Blood in stool
Ulcerative colitis,Nausea
Ulcerative colitis,Vomiting
Ulcerative colitis,Burning abdominal pain
Ulcerative colitis,Rectal bleeding
Ulcerative colitis,Lower abdominal pain
Ulcerative colitis,Melena
Ulcerative colitis,Decreased appetite
Ulcerative colitis,Swollen lymph nodes
Ulcerative colitis,Discharge in stools
Male genitalia infection,Penis redness
Male genitalia infection,Swelling of scrotum
Male genitalia infection,Pain in testicles
Male genitalia infection,Mass in scrotum
Male genitalia infection,Skin growth
Male genitalia infection,Abnormal appearing skin
Male genitalia infection,Penis pain
Male genitalia infection,Bumps on penis
Male genitalia infection,Warts
Male genitalia infection,Groin pain
Male genitalia infection,Irritable infant
Male genitalia infection,Swollen abdomen
HPV,Warts
HPV,Frequent urination
HPV,Vaginal itching
HPV,Vaginal discharge
HPV,Joint pain
HPV,Hand or finger lump or mass
HPV,Mass or swelling around the anus
HPV,Lump or mass of breast
HPV,Involuntary urination
HPV,Eyelid lesion or rash
HPV,Unpredictable menstruation
HPV,Coughing up sputum
Angina,Sharp chest pain
Angina,Shortness of breath
Angina,Chest tightness
Angina,Dizziness
Angina,Arm pain
Angina,Lower body pain
Angina,Palpitations
Angina,Sweating
Angina,Irregular heartbeat
Angina,Increased heart rate
Angina,Burning chest pain
Angina,Hot flashes
Injury to the spinal cord,Neck pain
Injury to the spinal cord,Neck cramps or spasms
Injury to the spinal cord,Back pain
Injury to the spinal cord,Shoulder pain
Injury to the spinal cord,Headache
Injury to the spinal cord,Throat irritation
Injury to the spinal cord,Retention of urine
Injury to the spinal cord,Foot or toe weakness
Injury to the spinal cord,Arm pain
Injury to the spinal cord,Arm weakness
Injury to the spinal cord,Side pain
Injury to the spinal cord,Drainage in throat
Nasal polyp,Nasal congestion
Nasal polyp,Headache
Nasal polyp,Nosebleed
Nasal polyp,Painful sinuses
Nasal polyp,Cough
Nasal polyp,Difficulty breathing
Nasal polyp,Allergic reaction
Nasal polyp,Facial pain
Nasal polyp,Disturbance of smell or taste
Nasal polyp,Frontal headache
Nasal polyp,Hoarse voice
Nasal polyp,Redness in ear
Lichen simplex,Skin rash
Lichen simplex,Itching of skin
Lichen simplex,Skin lesion
Lichen simplex,Skin irritation
Lichen simplex,Acne or pimples
Lichen simplex,Vaginal itching
Lichen simplex,Itchy scalp
Lichen simplex,Skin growth
Lichen simplex,Skin dryne
Lichen simplex,Loss of sex drive
Lichen simplex,Pain during intercourse
Lichen simplex,Difficulty speaking
Trichiasis,Foreign body sensation in eye
Trichiasis,Eyelid lesion or rash
Trichiasis,Diminished vision
Trichiasis,Symptoms of eye
Trichiasis,Itchiness of eye
Trichiasis,Pain in eye
Trichiasis,Eye redness
Trichiasis,Swollen eye
Trichiasis,Emotional symptoms
Trichiasis,Back weakness
Trichiasis,Elbow cramps or spasms
Trichiasis,Pus in sputum
Acariasis,Skin rash
Acariasis,Itching of skin
Acariasis,Swelling of scrotum
Acariasis,Skin lesion
Acariasis,Vomiting
Acariasis,Elbow weakness
Acariasis,Cross-eyed
Acariasis,Excessive growth
Acariasis,Bowlegged or knock-kneed
Acariasis,Feeling hot and cold
Acariasis,Wrist weakness
Acariasis,Emotional symptoms
Colorectal cancer,Sharp abdominal pain
Colorectal cancer,Rectal bleeding
Colorectal cancer,Blood in stool
Colorectal cancer,Pain of the anus
Colorectal cancer,Mass or swelling around the anus
Colorectal cancer,Drainage in throat
Skin pigmentation disorder,Abnormal appearing skin
Skin pigmentation disorder,Skin rash
Skin pigmentation disorder,Skin lesion
Skin pigmentation disorder,Skin moles
Skin pigmentation disorder,Acne or pimples
Skin pigmentation disorder,Skin growth
Skin pigmentation disorder,Itching of skin
Skin pigmentation disorder,Skin swelling
Skin pigmentation disorder,Skin dryne
Skin pigmentation disorder,Warts
Skin pigmentation disorder,Too little hair
Skin pigmentation disorder,Irregular appearing scalp
Factitious disorder,Disturbance of memory
Factitious disorder,Depressive or psychotic symptoms
Factitious disorder,Depression
Factitious disorder,Loss of sensation
Factitious disorder,Paresthesia
Factitious disorder,Lip swelling
Factitious disorder,Itchy eyelid
Factitious disorder,Wrist weakness
Factitious disorder,Excessive growth
Factitious disorder,Elbow cramps or spasms
Factitious disorder,Elbow weakness
Factitious disorder,Nailbiting
Lymphogranuloma venereum,Sore throat
Lymphogranuloma venereum,Nosebleed
Lymphogranuloma venereum,Fever
Lymphogranuloma venereum,Chills
Lymphogranuloma venereum,Ear pain
Lymphogranuloma venereum,Vulvar sore
Lymphogranuloma venereum,Pelvic pressure
Lymphogranuloma venereum,Knee lump or mass
Lymphogranuloma venereum,Shoulder swelling
Lymphogranuloma venereum,Neck cramps or spasms
Lymphogranuloma venereum,Excessive growth
Lymphogranuloma venereum,Loss of sex drive
Galactorrhea of unknown cause,Bleeding or discharge from nipple
Galactorrhea of unknown cause,Pain or soreness of breast
Galactorrhea of unknown cause,Pelvic pain
Galactorrhea of unknown cause,Weight gain
Galactorrhea of unknown cause,Anxiety and nervousness
Galactorrhea of unknown cause,Back pain
Galactorrhea of unknown cause,Lump or mass of breast
Galactorrhea of unknown cause,Sharp chest pain
Galactorrhea of unknown cause,Burning abdominal pain
Galactorrhea of unknown cause,Cough
Galactorrhea of unknown cause,Low back weakness
Galactorrhea of unknown cause,Emotional symptoms
G6PD enzyme deficiency,Cough
G6PD enzyme deficiency,Nasal congestion
G6PD enzyme deficiency,Excessive growth
G6PD enzyme deficiency,Wrist weakness
G6PD enzyme deficiency,Elbow weakness
G6PD enzyme deficiency,Elbow cramps or spasms
G6PD enzyme deficiency,Feeling hot and cold
G6PD enzyme deficiency,Emotional symptoms
G6PD enzyme deficiency,Low back weakness
G6PD enzyme deficiency,Underweight
G6PD enzyme deficiency,Nailbiting
G6PD enzyme deficiency,Muscle swelling
Nerve impingement near the shoulder,Shoulder pain
